comparison_id	batch_id	queue_id	queue_rank	screen_id	external_screen_id	gene_symbol	primary_review_id	secondary_review_id	primary_evidence_level	secondary_evidence_level	comparison_status	primary_source_locator	secondary_source_locator	human_adjudication_required	assessed_date	notes
orcs-2.0.18-batch-001:review-comparison:sha256:b1a1c737dfc5426ab394ca4f27f12b2ed1a4c83b60e752ad4f4ad606c7a8fdf6	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1	1	orcs:2.0.18:screen:1	1	CDK6	orcs:2.0.18:full-text-review:screen:1:v1	orcs:2.0.18:full-text-review:screen:1:v2	candidate_v1	candidate_v1	provisional_agreement	Figure 2F-G: two sgRNAs per gene, protein assessment and etoposide viability in HL60	Figure 2F-G: individual-guide protein and etoposide-response follow-up was performed in HL60 rather than the selected KBM-7 model	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:3f67c93c0d792dc8ccb3d93c8a2f3d102203c699a608668fe404cdafbba4111f	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1	1	orcs:2.0.18:screen:1	1	TOP2A	orcs:2.0.18:full-text-review:screen:1:v1	orcs:2.0.18:full-text-review:screen:1:v2	candidate_v1	candidate_v1	provisional_agreement	Figure 2F-G: two sgRNAs per gene, protein assessment and etoposide viability in HL60	Figure 2F-G: individual-guide protein and etoposide-response follow-up was performed in HL60 rather than the selected KBM-7 model	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:61f1183b08effe58423bc1f70fb43ab11d9a328c9c7cde2b5b7fc284e03cdde0	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1153	2	orcs:2.0.18:screen:1153	1153	COQ10B	orcs:2.0.18:full-text-review:screen:1153:v1	orcs:2.0.18:full-text-review:screen:1153:v2	candidate_v1	candidate_v1	provisional_agreement	Figure 1h-i: two sgRNAs per gene in K-562 competitive-growth assays, two biological replicates	Figure 1H-I and Supplementary Figure 4A: individual sgRNA retests in K562 reproduce sensitization for NPRL2 and DEPDC5 and protection for COQ10B, COQ9 and PDSS2; target loss and same-gene rescue are not reported	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:389b550beee2a5c2a75753b68b4b6b836e1b5fa890a2086df5fbfca9f2109369	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1153	2	orcs:2.0.18:screen:1153	1153	COQ9	orcs:2.0.18:full-text-review:screen:1153:v1	orcs:2.0.18:full-text-review:screen:1153:v2	candidate_v1	candidate_v1	provisional_agreement	Figure 1h-i: two sgRNAs per gene in K-562 competitive-growth assays, two biological replicates	Figure 1H-I and Supplementary Figure 4A: individual sgRNA retests in K562 reproduce sensitization for NPRL2 and DEPDC5 and protection for COQ10B, COQ9 and PDSS2; target loss and same-gene rescue are not reported	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:8d3167668e534d8c81dd61b8f6024160467cb2d918ecbd3c60070befc64b3350	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1153	2	orcs:2.0.18:screen:1153	1153	DEPDC5	orcs:2.0.18:full-text-review:screen:1153:v1	orcs:2.0.18:full-text-review:screen:1153:v2	candidate_v1	candidate_v1	provisional_agreement	Figure 1h-i: two sgRNAs per gene in K-562 competitive-growth assays, two biological replicates	Figure 1H-I and Supplementary Figure 4A: individual sgRNA retests in K562 reproduce sensitization for NPRL2 and DEPDC5 and protection for COQ10B, COQ9 and PDSS2; target loss and same-gene rescue are not reported	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:c74ae3275427becd00273e2c0952439c7a3ccf0bfe0f7a97c33b8e461e1ed4d9	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1153	2	orcs:2.0.18:screen:1153	1153	NPRL2	orcs:2.0.18:full-text-review:screen:1153:v1	orcs:2.0.18:full-text-review:screen:1153:v2	candidate_v1	candidate_v1	provisional_agreement	Figure 1h-i: two sgRNAs per gene in K-562 competitive-growth assays, two biological replicates	Figure 1H-I and Supplementary Figure 4A: individual sgRNA retests in K562 reproduce sensitization for NPRL2 and DEPDC5 and protection for COQ10B, COQ9 and PDSS2; target loss and same-gene rescue are not reported	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:9d054ad11609a08a396b4c9a1208e7215323d83bcdc8b897aaa53ed42c3b8f2a	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1153	2	orcs:2.0.18:screen:1153	1153	PDSS2	orcs:2.0.18:full-text-review:screen:1153:v1	orcs:2.0.18:full-text-review:screen:1153:v2	not_annotated	candidate_v1	single_curator_only	Figure 1h-i: two sgRNAs per gene in K-562 competitive-growth assays, two biological replicates	Figure 1H-I and Supplementary Figure 4A: individual sgRNA retests in K562 reproduce sensitization for NPRL2 and DEPDC5 and protection for COQ10B, COQ9 and PDSS2; target loss and same-gene rescue are not reported	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:f53d166d0670b99a4fa5fadf3c6e97711f095b4f76777248e896359e4812a872	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:85	3	orcs:2.0.18:screen:85	85	KEAP1	orcs:2.0.18:full-text-review:screen:85:v1	orcs:2.0.18:full-text-review:screen:85:v2	candidate_v2	candidate_v2	provisional_agreement	Figure 2B-D: two KEAP1 sgRNAs with editing assessment and matched trametinib response in HCC364	Figure 1D supports KEAP1 in matched HCC364 trametinib follow-up; Figures 2 and 5-6 provide contextual or mechanistic evidence that does not independently validate NFE2L2 for this screen	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:7d76d2d487db2b3466402cef0360259bfc285e2de0316790032eec447065eada	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:85	3	orcs:2.0.18:screen:85	85	NFE2L2	orcs:2.0.18:full-text-review:screen:85:v1	orcs:2.0.18:full-text-review:screen:85:v2	not_annotated	nonqualifying	single_curator_only	Figure 2B-D: two KEAP1 sgRNAs with editing assessment and matched trametinib response in HCC364	Figure 1D supports KEAP1 in matched HCC364 trametinib follow-up; Figures 2 and 5-6 provide contextual or mechanistic evidence that does not independently validate NFE2L2 for this screen	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
orcs-2.0.18-batch-001:review-comparison:sha256:d3eef39130871cf5fa0e62410c4a54aad04f9c3aac7d07c4eb02e8e1927c6934	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:2169	4	orcs:2.0.18:screen:2169	2169	CIC	orcs:2.0.18:full-text-review:screen:2169:v1	orcs:2.0.18:full-text-review:screen:2169:v2	candidate_v2	candidate_v2	provisional_agreement	Figures 2B-C and 3A-D: targeted follow-up with independent guides in PC9 and H1975 contexts	Figures 2B-D and 3A-B: independent CRISPR perturbations in PC-9 with matched gefitinib response and target-loss assessment; no rescue	True	2026-08-02	Comparison only; human adjudication is required and no benchmark label is released.
