review_id	batch_id	queue_id	queue_rank	screen_id	external_screen_id	source_family_id	quantitative_asset_family_id	raw_data_family_id	source_id	doi	paper_url	full_text_url	supplement_url	full_text_reviewed	supplement_review	scope_outcome	design_review	sample_map_review	screen_model	library_design	treatment_contrast	screen_replication	analysis_method	quantitative_data_status	quantitative_asset_locator	data_accession	rights_outcome	rights_basis	validation_status	candidate_v3_genes	candidate_v2_genes	candidate_v1_genes	nonqualifying_validation_genes	validation_source_locator	disposition	blocker_codes	assessed_date	curator	notes
orcs:2.0.18:full-text-review:screen:1:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1	1	orcs:2.0.18:screen:1	1	orcs:source-family:pubmed:24336569	orcs:asset-family:pubmed:24336569:supp-table-2		24336569	10.1126/science.1246981	https://pubmed.ncbi.nlm.nih.gov/24336569/	https://pmc.ncbi.nlm.nih.gov/articles/PMC3972032/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3972032/supplementaryFiles	True	complete	pass	complete	partial	KBM-7 near-haploid human CML cells with inducible Cas9	73,151 sgRNAs targeting 7,114 genes plus 100 non-targeting controls; approximately 10 guides per gene	130 nM etoposide for 12 days; treated endpoint versus untreated endpoint; resistance enrichment	Biological screen replicate count not reported; the parallel HL60 screen is a distinct screen	One-sided Kolmogorov-Smirnov comparison of guide differential abundance against non-targeting controls with multiple-test correction	author_scores_public	Supplementary Table 2 contains gene scores and the percentage of scoring sgRNAs, not sample-level counts		unknown	ORCS structured output is MIT; no data-specific open license was verified for the source spreadsheet	candidate_v1			CDK6|TOP2A		Figure 2F-G: two sgRNAs per gene, protein assessment and etoposide viability in HL60	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	Cross-cell-line within-study evidence from a distinct HL60 screen; retained as V1, not V2, pending formal linkage and adjudication.
orcs:2.0.18:full-text-review:screen:1153:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1153	2	orcs:2.0.18:screen:1153	1153	orcs:source-family:pubmed:27018887	orcs:asset-family:pubmed:27018887:supp-dataset-2		27018887	10.1038/nchembio.2050	https://pubmed.ncbi.nlm.nih.gov/27018887/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4836973/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4836973/supplementaryFiles	True	complete	pass	complete	partial	K-562 human CML cells stably expressing Cas9	Custom genome-wide CRISPR-KO library with approximately 4 sgRNAs per gene and approximately 2,000 negative controls	Dose ramp ending with 48 nM GSK983 for 10 days; 14 days total; treated endpoint versus untreated endpoint	One treated and one untreated flask described; independent biological screen replication not reported	Median guide fold-enrichment after detection filtering; gene workbook also reports Mann-Whitney and KS statistics	author_scores_public	Source gene-ranking workbook covers 18,506 genes; no public guide-by-sample count matrix		unknown	ORCS structured output is MIT; no explicit open redistribution license was verified for the source workbook	candidate_v1			COQ10B|COQ9|DEPDC5|NPRL2		Figure 1h-i: two sgRNAs per gene in K-562 competitive-growth assays, two biological replicates	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	Phenotypes were reproduced, but target disruption was not explicitly confirmed; therefore V1, not V2.
orcs:2.0.18:full-text-review:screen:85:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:85	3	orcs:2.0.18:screen:85	85	orcs:source-family:pubmed:28145866	orcs:asset-family:pubmed:28145866:supp-file-1		28145866	10.7554/eLife.18970	https://pubmed.ncbi.nlm.nih.gov/28145866/	https://pmc.ncbi.nlm.nih.gov/articles/PMC5305212/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5305212/supplementaryFiles	True	complete	pass	complete	complete	HCC364 human BRAF-V600E lung cancer cells expressing Cas9	GeCKO v2 genome-wide library; approximately 120,000 sgRNAs with approximately 500 cells per sgRNA after selection	24 nM trametinib with harvest at days 14 and 21; drug-selected abundance compared with day-0 baseline; resistance enrichment	Two independent infection replicates	Average sgRNA log2 fold-change followed by STARS gene ranking	author_scores_public	Supplementary File 1 contains complete sgRNA-level average log2 fold-changes and hit statistics, but no sample-level counts		unknown	Article and supplement are CC BY 4.0; no raw-data asset was located for a separate rights assessment	candidate_v2		KEAP1			Figure 2B-D: two KEAP1 sgRNAs with editing assessment and matched trametinib response in HCC364	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	Candidate V2 pending a second curator; no genetic rescue was reported.
orcs:2.0.18:full-text-review:screen:2169:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:2169	4	orcs:2.0.18:screen:2169	2169	orcs:source-family:pubmed:28167502	orcs:asset-family:pubmed:28167502:supp-table-s1		28167502	10.1101/gad.291948.116	https://pubmed.ncbi.nlm.nih.gov/28167502/	https://pmc.ncbi.nlm.nih.gov/articles/PMC5322732/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5322732/supplementaryFiles	True	complete	pass	complete	partial	PC9 human EGFR-mutant lung cancer cells	Targeted tumor-suppressor CRISPR-KO library; approximately 500 genes, 10 sgRNAs per gene and 1,000 control sgRNAs	30 nM gefitinib versus matched DMSO for approximately 17 days; resistance enrichment	Three replicate pairs reported; replicate unit not specified	MAGeCK enrichment analysis	author_scores_public	Supplementary Table S1 contains gene-level ranks, fold changes, p-values and FDR; no guide-by-sample counts		unknown	Article and supplement are CC BY-NC 4.0; no raw-data asset was located for a separate rights assessment	candidate_v2		CIC|PBRM1			Figures 2B-C and 3A-D: targeted follow-up with independent guides in PC9 and H1975 contexts	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	Candidate V2 genes remain downstream outcomes; companion shRNA and ORF screens are grouped at the quantitative-asset family level.
orcs:2.0.18:full-text-review:screen:1348:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1348	5	orcs:2.0.18:screen:1348	1348	orcs:source-family:pubmed:29973717	orcs:asset-family:pubmed:29973717:supp-table-1-three-line		29973717	10.1038/s41586-018-0291-z	https://pubmed.ncbi.nlm.nih.gov/29973717/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6071917/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6071917/supplementaryFiles	True	complete	pass	complete	complete	HeLa human cervical cancer cells with stable Cas9	TKOv1 genome-wide CRISPR-KO library; at least 200 cells per sgRNA maintained	2 uM olaparib from day 6 to day 15, a 9-day exposure; matched untreated endpoint; sensitization depletion	Three technical treatment-control splits from one infected pool	DrugZ gene-level scoring across HeLa, RPE1 and SUM149PT	author_scores_public	Supplementary Table 1 contains gene-level DrugZ results for all three cell models; no sample-level counts		unknown	No open data license was verified for the source workbook; ORCS MIT does not transfer to source supplements	candidate_v3	RNASEH2A	RNASEH2B			Figure 2 and Extended Data Figures 2-4: targeted knockout phenotypes; RNASEH2A wild-type complementation provides rescue	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	RNASEH2A is candidate V3; RNASEH2B is candidate V2; RNASEH2C remains unadjudicated. The three cell models share one quantitative-asset family.
orcs:2.0.18:full-text-review:screen:632:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:632	6	orcs:2.0.18:screen:632	632	orcs:source-family:pubmed:30135075	orcs:asset-family:pubmed:30135075:supp-table-s1		30135075	10.1101/gad.315648.118	https://pubmed.ncbi.nlm.nih.gov/30135075/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6120715/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6120715/supplementaryFiles	True	complete	pass	complete	partial	NMC1015 (10-15) human NUT carcinoma cells with BRD4-NUTM1 fusion	Targeted tumor-suppressor CRISPR-KO library; approximately 500 genes and 10 sgRNAs per gene	200 nM JQ1 versus matched DMSO for approximately 17 days; resistance enrichment	Three replicate pairs reported; replicate unit not specified	MAGeCK enrichment analysis	author_scores_public	Supplementary Table S1 contains gene-level ranks, fold changes, p-values and FDR; no guide-by-sample counts		unknown	Article and supplement are CC BY-NC 4.0; no raw-data asset was located for a separate rights assessment	candidate_v1			RB1		Figure 4C: two RB1 sgRNAs in an independent NMC797 model and JQ1 dose-response	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	RB1 disruption was not explicitly confirmed, so the follow-up remains V1; companion ORF-screen results cannot label this screen.
orcs:2.0.18:full-text-review:screen:1291:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1291	7	orcs:2.0.18:screen:1291	1291	orcs:source-family:pubmed:30154076	orcs:asset-family:pubmed:30154076:supp-ev3		30154076	10.15252/embj.2018100158	https://pubmed.ncbi.nlm.nih.gov/30154076/	https://www.embopress.org/doi/full/10.15252/embj.2018100158	https://www.embopress.org/doi/suppl/10.15252/embj.2018100158	True	complete	pass	complete	complete	hTERT-RPE1 human epithelial cells expressing Cas9	TKOv1 genome-wide CRISPR-KO library at least 600-fold representation	3 nM doxorubicin (IC25) versus water control for 14 days; sensitization depletion	Three replicate treatment-control pairs	Filtered guide log2 fold-change followed by mean gene score	author_scores_public	Supplementary Dataset EV3 contains author hit scores; no public sample-level count matrix		unknown	No explicit open license or screen data repository was verified; proteomics accessions concern a different assay	nonqualifying_only				SHLD1	Mechanistic SHLD1 experiments use different models or endpoints and do not match the RPE1 doxorubicin contrast	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	No qualifying same-contrast validation event was identified; mechanistic evidence is retained as nonqualifying.
orcs:2.0.18:full-text-review:screen:1705:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1705	8	orcs:2.0.18:screen:1705	1705	orcs:source-family:pubmed:30414698	orcs:asset-family:pubmed:30414698:supp-tables		30414698	10.1016/j.eururo.2018.10.040	https://pubmed.ncbi.nlm.nih.gov/30414698/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6339584/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6339584/supplementaryFiles	True	partial	pass	complete	complete	MGH-U4 human bladder cancer cells	Human GeCKO library A with 65,383 sgRNAs and approximately 3 guides per gene	3 uM cisplatin versus vehicle for 30 hours followed by recovery to confluence; resistance enrichment	Four replicate cultures per condition with 2 million cells each	Bowtie2 and htseq counting, DESeq2 guide analysis, mean gene fold-change and Fisher combined p-value	author_scores_public	Article and supplement index describe differential sgRNA and gene workbooks; workbook content remains partially reviewed		unknown	The PMC record does not provide an open license for the source data; ORCS MIT applies only to ORCS output	candidate_v2		MSH2			Targeted MSH2 shRNAs in MGH-U4 and 253J with matched cisplatin viability and apoptosis assays	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	Orthogonal perturbation supports candidate V2, pending complete supplement review, second curation and formal event extraction.
orcs:2.0.18:full-text-review:screen:1110:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1110	9	orcs:2.0.18:screen:1110	1110	orcs:source-family:pubmed:30449619	orcs:asset-family:pubmed:30449619:supp-table-s6	orcs:raw-family:pubmed:30449619:sra-SRP158611	30449619	10.1016/j.cell.2018.10.024	https://pubmed.ncbi.nlm.nih.gov/30449619/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6689405/supplementaryFiles	True	complete	pass	complete	partial	Primary-derived human CD8-positive T cells	SLICE genome-wide library with 77,441 sgRNAs targeting 19,114 genes	20 uM CGS-21680 versus vehicle during a 4-day restimulation; CFSE-low proliferating cells selected	Donor-derived populations are described, but the SRA run-to-treatment-arm map is not yet verified	MAGeCK analysis of proliferating cells under CGS-21680 versus vehicle	raw_reads_public	SRA SRP158611 contains raw sequencing reads for the pooled screens; Supplementary Table S6 contains MAGeCK results	SRP158611	unknown	SRA access is public, but redistribution terms and a verified sample-to-contrast map are not yet recorded	candidate_v1			ADORA2A|FAM105A		Individual RNP sgRNAs in cells from two donors with matched CGS-21680 proliferation assays	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	Raw reads and their family are identified but not ingested; target-specific perturbation confirmation was not located, so this remains V1 and outcome-only.
orcs:2.0.18:full-text-review:screen:2440:v1	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:2440	10	orcs:2.0.18:screen:2440	2440	orcs:source-family:pubmed:30532030	orcs:asset-family:pubmed:30532030:supp-tables-1-2		30532030	10.1038/s41388-018-0606-4	https://pubmed.ncbi.nlm.nih.gov/30532030/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6450769/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6450769/supplementaryFiles	True	complete	pass	complete	complete	HEK293-A human cells expressing Cas9	TKOv3 genome-wide library with 70,948 targeting sgRNAs and 142 controls	AZD6738 at IC20 versus DMSO for approximately 20 population doublings; serial endpoints through day 21	Three replicate populations per condition	DrugZ and BAGEL analyses of longitudinal guide abundance	author_scores_public	Supplementary Table 1 contains DrugZ gene scores and Table 2 contains normalized sgRNA values; no public raw count matrix		unknown	The PMC record does not provide an open data license; the article states remaining data are available from authors	candidate_v2		RNASEH2A|RNASEH2B			Targeted RNASEH2A/B perturbations in 293A plus orthogonal and independent-model drug-response assays	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Codex-assisted single-curator review	Candidate V2 pending second curation; no qualifying gene-rescue event was identified.
