review_id	batch_id	queue_id	queue_rank	screen_id	external_screen_id	source_family_id	quantitative_asset_family_id	raw_data_family_id	source_id	doi	paper_url	full_text_url	supplement_url	full_text_reviewed	supplement_review	scope_outcome	design_review	sample_map_review	screen_model	library_design	treatment_contrast	screen_replication	analysis_method	quantitative_data_status	quantitative_asset_locator	data_accession	rights_outcome	rights_basis	validation_status	candidate_v3_genes	candidate_v2_genes	candidate_v1_genes	nonqualifying_validation_genes	validation_source_locator	disposition	blocker_codes	assessed_date	curator	notes
orcs:2.0.18:full-text-review:screen:1:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1	1	orcs:2.0.18:screen:1	1	orcs:source-family:pubmed:24336569	orcs:asset-family:pubmed:24336569:supp-table-2		24336569	10.1126/science.1246981	https://pubmed.ncbi.nlm.nih.gov/24336569/	https://pmc.ncbi.nlm.nih.gov/articles/PMC3972032/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC3972032/supplementaryFiles	True	complete	pass	complete	partial	KBM-7 near-haploid human CML cells with inducible Cas9	Custom pooled lentiviral library with 73,151 sgRNAs targeting 7,114 genes plus 100 non-targeting controls; normally 10 guides per gene	Etoposide-treated versus untreated final populations; dose and exposure duration not reported; resistance enrichment	Not reported; one treated and one untreated pooled KBM-7 population are described	Per-guide differential abundance followed by a one-sided Kolmogorov-Smirnov comparison against non-targeting guides and multiple-test correction	author_scores_public	Supplementary Table 2 contains gene-level corrected p-values and percentages of scoring sgRNAs, not guide-by-sample counts		unknown	PMC provides an author manuscript for reading and citation; no affirmative open redistribution license was found for the Science supplement	candidate_v1			CDK6|TOP2A		Figure 2F-G: individual-guide protein and etoposide-response follow-up was performed in HL60 rather than the selected KBM-7 model	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	CDK6 and TOP2A remain V1 because the within-study follow-up used a different cell model; no same-model rescue was reported.
orcs:2.0.18:full-text-review:screen:1153:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1153	2	orcs:2.0.18:screen:1153	1153	orcs:source-family:pubmed:27018887	orcs:asset-family:pubmed:27018887:supp-dataset-2		27018887	10.1038/nchembio.2050	https://pubmed.ncbi.nlm.nih.gov/27018887/	https://pmc.ncbi.nlm.nih.gov/articles/PMC4836973/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4836973/supplementaryFiles	True	complete	pass	complete	partial	K562 human chronic myelogenous leukemia cells constitutively expressing Cas9	Custom genome-wide CRISPR-Cas9 library with approximately four sgRNAs per human protein-coding gene plus approximately 2,000 negative controls	48 nM GSK983 versus untreated for 10-14 days; sensitization and protection phenotypes	Not reported; one treated and one untreated pooled K562 population are described	Median fold-change in sgRNA frequency between untreated and GSK983-treated populations followed by gene ranking	author_scores_public	Supplementary Dataset 2 contains complete CRISPR-Cas9 gene rankings derived from guide fold changes, not guide-by-sample counts		unknown	PMC provides an author manuscript for academic reading and data-mining under Nature terms; no affirmative open redistribution license was found for Supplementary Dataset 2 or underlying sequencing data	candidate_v1			COQ10B|COQ9|DEPDC5|NPRL2|PDSS2		Figure 1H-I and Supplementary Figure 4A: individual sgRNA retests in K562 reproduce sensitization for NPRL2 and DEPDC5 and protection for COQ10B, COQ9 and PDSS2; target loss and same-gene rescue are not reported	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-02	Independent Codex literature reviewer; per-study outcome mapping withheld	All five genes remain V1 because matched K562 follow-up reproduced the expected GSK983 phenotype but did not document target editing or protein loss and did not include a same-gene rescue; PDSS2 had one individually retested sgRNA.
orcs:2.0.18:full-text-review:screen:85:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:85	3	orcs:2.0.18:screen:85	85	orcs:source-family:pubmed:28145866	orcs:asset-family:pubmed:28145866:supp-file-1		28145866	10.7554/eLife.18970	https://pubmed.ncbi.nlm.nih.gov/28145866/	https://pmc.ncbi.nlm.nih.gov/articles/PMC5305212/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5305212/supplementaryFiles	True	complete	pass	complete	complete	HCC364 human BRAF-V600E lung cancer cells expressing Cas9	GeCKO v2 genome-wide knockout library with approximately 120,000 sgRNAs and approximately six guides per gene	24 nM trametinib with harvest at days 14 and 21; drug-selected abundance compared with day-0 baseline; resistance enrichment	Two independent infection replicates with approximately 500 selected cells per sgRNA	Average sgRNA log2 fold-change followed by STARS gene ranking	author_scores_public	Supplementary File 1 sheets HCC364 + Tram LFC and HCC364 + Tram STARS contain sgRNA and gene author-derived values, not sample-level counts		pass	Article and Supplementary File 1 are available under CC BY 4.0; no selected-screen raw-read or raw-count asset was located	candidate_v2		KEAP1		NFE2L2	Figure 1D supports KEAP1 in matched HCC364 trametinib follow-up; Figures 2 and 5-6 provide contextual or mechanistic evidence that does not independently validate NFE2L2 for this screen	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	KEAP1 is V2 without a same-model same-contrast genetic rescue; NFE2L2 is retained separately as nonqualifying mechanistic evidence.
orcs:2.0.18:full-text-review:screen:2169:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:2169	4	orcs:2.0.18:screen:2169	2169	orcs:source-family:pubmed:28167502	orcs:asset-family:pubmed:28167502:supp-table-s1		28167502	10.1101/gad.291948.116	https://pubmed.ncbi.nlm.nih.gov/28167502/	https://pmc.ncbi.nlm.nih.gov/articles/PMC5322732/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC5322732/supplementaryFiles	True	complete	pass	complete	partial	PC-9 human EGFR-mutant lung cancer cells	Custom TUSON tumor-suppressor CRISPR library with approximately 500 genes, 10 guides per gene and 1,000 negative controls; approximately 6,000 guides total	After editing, PC-9 cells were split to 30 nM gefitinib versus matched DMSO for approximately 17 days; resistance enrichment	The pooled screen was performed in three replicate arms	MAGeCK enrichment analysis	author_scores_public	Supplementary Table S1 contains gene-level ranks, fold changes, p-values and FDR values, not guide-by-sample counts		unknown	Article and supplement are CC BY-NC 4.0; no separate rights basis was located for an underlying raw-data asset	candidate_v2		CIC|PBRM1			Figures 2B-D and 3A-B: independent CRISPR perturbations in PC-9 with matched gefitinib response and target-loss assessment; no rescue	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	CIC and PBRM1 are V2 in the selected model and treatment direction; no same-model genetic rescue establishes V3.
orcs:2.0.18:full-text-review:screen:1348:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1348	5	orcs:2.0.18:screen:1348	1348	orcs:source-family:pubmed:29973717	orcs:asset-family:pubmed:29973717:supp-table-1		29973717	10.1038/s41586-018-0291-z	https://pubmed.ncbi.nlm.nih.gov/29973717/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6071917/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6071917/supplementaryFiles	True	complete	pass	complete	complete	HeLa human cervical cancer cells with stable Cas9	TKOv1 genome-wide CRISPR knockout library with 91,320 sgRNAs targeting 17,232 genes; at least 200 cells per sgRNA maintained	2 uM olaparib from day 6 to day 15 with a matched untreated endpoint; sensitization depletion	Three technical screen replicates from one infected pool	DrugZ gene-level scoring across HeLa, RPE1 and SUM149PT	author_scores_public	Supplementary Table 1 contains gene-level DrugZ results for three cell models, not sample-level counts		unknown	No affirmative open data license was verified for the source workbook; ORCS licensing does not transfer to publisher supplements	candidate_v3	RNASEH2A			RNASEH2B	Figure 2J and Extended Data Figure 4: RNASEH2A-null HeLa olaparib sensitivity is rescued by wild-type but not inactive RNASEH2A; RNASEH2B lacks equally explicit matched rescue	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	RNASEH2A is V3 through same-model genetic complementation; RNASEH2B remains nonqualifying pending human adjudication of exact model and contrast linkage.
orcs:2.0.18:full-text-review:screen:632:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:632	6	orcs:2.0.18:screen:632	632	orcs:source-family:pubmed:30135075	orcs:asset-family:pubmed:30135075:supp-table-s1		30135075	10.1101/gad.315648.118	https://pubmed.ncbi.nlm.nih.gov/30135075/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6120715/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6120715/supplementaryFiles	True	complete	pass	complete	partial	NMC1015 (10-15) human NUT carcinoma cells with BRD4-NUTM1 fusion	Targeted tumor-suppressor CRISPR-KO library; approximately 500 genes and 10 sgRNAs per gene	200 nM JQ1 versus matched DMSO for approximately 17 days; resistance enrichment	Three replicate pairs reported; replicate unit not specified	MAGeCK enrichment analysis	author_scores_public	Supplementary Table S1 contains gene-level ranks, fold changes, p-values and FDR; no guide-by-sample counts		unknown	Article and supplement are CC BY-NC 4.0; no raw-data asset was located for a separate rights assessment	candidate_v1			RB1		Figure 4C and Methods: two RB1 sgRNAs with controls and JQ1 dose response in NMC797, a model distinct from the NMC1015 screen	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	Independent review agrees on V1: follow-up used NMC797 rather than the NMC1015 screen model, and target-specific loss was not explicitly documented.
orcs:2.0.18:full-text-review:screen:1291:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1291	7	orcs:2.0.18:screen:1291	1291	orcs:source-family:pubmed:30154076	orcs:asset-family:pubmed:30154076:supp-ev3	orcs:raw-family:pubmed:30154076:supp-ev3-counts	30154076	10.15252/embj.2018100158	https://pubmed.ncbi.nlm.nih.gov/30154076/	https://www.embopress.org/doi/full/10.15252/embj.2018100158	https://www.embopress.org/doi/suppl/10.15252/embj.2018100158	True	complete	pass	complete	partial	hTERT-RPE1 human epithelial cells expressing Cas9	TKOv1 genome-wide CRISPR-KO library at least 600-fold representation	3 nM doxorubicin (IC25) versus water control for 14 days; sensitization depletion	Methods state triplicate, but the public raw-count matrix contains A/B pairs only for T0, vehicle and doxorubicin	Filtered guide log2 fold-change followed by mean gene score	raw_counts_public	Supplementary Dataset EV3 contains 91,320 sgRNA rows with T0 A/B, T14 Vehicle A/B, T14 Dox A/B plus gene scores	Supplementary Dataset EV3	pass	Article and Supplementary Dataset EV3 are CC BY 4.0; attribution is required	nonqualifying_only				SHLD1	Mechanistic SHLD1 experiments use different models or endpoints and do not match the RPE1 doxorubicin contrast	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	Independent review found a public six-sample raw-count matrix in Dataset EV3, but SHLD1 follow-up did not test the RPE1 doxorubicin contrast; it remains nonqualifying.
orcs:2.0.18:full-text-review:screen:1705:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1705	8	orcs:2.0.18:screen:1705	1705	orcs:source-family:pubmed:30414698	orcs:asset-family:pubmed:30414698:supp-tables		30414698	10.1016/j.eururo.2018.10.040	https://pubmed.ncbi.nlm.nih.gov/30414698/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6339584/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6339584/supplementaryFiles	True	complete	pass	complete	complete	MGH-U4 human bladder cancer cells	Human GeCKO library A with 65,383 sgRNAs and approximately 3 guides per gene	3 uM cisplatin versus vehicle for 30 hours followed by recovery to confluence; resistance enrichment	Four replicate cultures per condition with 2 million cells each	Bowtie2 and htseq counting, DESeq2 guide analysis, mean gene fold-change and Fisher combined p-value	author_scores_public	Supplement Tables 5 and 6 contain differential sgRNA results and gene-level ranks; no sample-level raw counts were found		unknown	The PMC record does not provide an open license for the source data; ORCS MIT applies only to ORCS output	candidate_v2		MSH2			Figures 1-3 and Methods: two MSH2 shRNAs with non-targeting control, Western confirmation and matched cisplatin assays in MGH-U4 and 253J	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	Independent review agrees on V2: two MSH2 shRNAs, perturbation confirmation, matched cisplatin response and controls in MGH-U4; no rescue.
orcs:2.0.18:full-text-review:screen:1110:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:1110	9	orcs:2.0.18:screen:1110	1110	orcs:source-family:pubmed:30449619	orcs:asset-family:pubmed:30449619:supp-table-s6	orcs:raw-family:pubmed:30449619:sra-SRP158611	30449619	10.1016/j.cell.2018.10.024	https://pubmed.ncbi.nlm.nih.gov/30449619/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6689405/supplementaryFiles	True	complete	pass	complete	partial	Primary-derived human CD8-positive T cells	SLICE genome-wide library with 77,441 sgRNAs targeting 19,114 genes	20 uM CGS-21680 versus vehicle during a 4-day restimulation; CFSE-low proliferating cells selected	Two matched donor blocks (D5 and D6), each with vehicle/CGS-21680 by dividing/nondividing bins; eight relevant SRA runs	MAGeCK analysis of proliferating cells under CGS-21680 versus vehicle	raw_reads_public	SRP158611 has 24 amplicon runs; only S17-S24 map to this contrast. Table S6 contains separate vehicle and CGS MAGeCK outputs	SRP158611	unknown	SRA access is public, but redistribution terms and a verified sample-to-contrast map are not yet recorded	candidate_v1			ADORA2A|FAM105A		Figure 6 and Methods: ADORA2A and FAM105A tested with two sgRNAs in two donors under matched CGS-21680 proliferation assays; target-specific editing confirmation not reported	metadata_only	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|rights.source_and_raw_data	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	Independent review agrees on strict V1 because target-specific editing confirmation was not reported. The eight relevant SRA runs require a donor-blocked treatment-by-bin interaction.
orcs:2.0.18:full-text-review:screen:2440:v2	orcs-2.0.18-batch-001	orcs:2.0.18:curation-queue:v2:2440	10	orcs:2.0.18:screen:2440	2440	orcs:source-family:pubmed:30532030	orcs:asset-family:pubmed:30532030:supp-tables-1-2		30532030	10.1038/s41388-018-0606-4	https://pubmed.ncbi.nlm.nih.gov/30532030/	https://pmc.ncbi.nlm.nih.gov/articles/PMC6450769/	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6450769/supplementaryFiles	True	complete	pass	complete	complete	HEK293-A human cells expressing Cas9	TKOv3 genome-wide library with 70,948 targeting sgRNAs and 142 controls	AZD6738 at IC20 versus DMSO for approximately 20 population doublings; serial endpoints through day 21	Three replicate populations per condition	DrugZ and BAGEL analyses of longitudinal guide abundance	author_scores_public	Supplementary Table 1 contains DrugZ gene scores and Table 2 guide-level RNASEH2 results; no raw count matrix or FASTQ accession found		unknown	The PMC record does not provide an open data license; the article states remaining data are available from authors	candidate_v2		RNASEH2A|RNASEH2B			Figures 1-2 and Methods: individual sgRNA plus Western and orthogonal shRNA evidence for RNASEH2A/B with matched AZD6738 response in 293A; no rescue	metadata_only	data.count_level_signal|labels.adjudicated_validation_event|provenance.raw_data_family|rights.source_and_raw_data	2026-08-01	Independent Codex literature reviewer; per-study outcome mapping withheld	Independent review agrees on V2 for RNASEH2A/B using independent or orthogonal perturbations with confirmation and matched AZD6738 response; no rescue.
