queue_id	queue_rank	source_round	source_version	policy_version	bucket	screen_id	external_screen_id	source_id	source_type	source_family_id	author	screen_name	experimental_setup	condition_name	cell_line	scope_unknown_count	metadata_completeness_count	full_gene_score_set_available	reason_codes
orcs:2.0.18:curation-queue:v2:1	1	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:1	1	24336569	pubmed	orcs:source-family:pubmed:24336569	Wang T (2014)	1-PMID24336569	Drug Exposure	Etoposide	KBM-7	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:1153	2	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:1153	1153	27018887	pubmed	orcs:source-family:pubmed:27018887	Deans RM (2016)	1-PMID27018887	Drug Exposure	GSK983	K-562	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:85	3	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:85	85	28145866	pubmed	orcs:source-family:pubmed:28145866	Krall EB (2017)	1-PMID28145866	Drug Exposure	Trametinib	HCC364	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:2169	4	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:2169	2169	28167502	pubmed	orcs:source-family:pubmed:28167502	Liao S (2017)	1-PMID28167502	Drug Exposure	Gefitinib	PC-9	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:1348	5	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:1348	1348	29973717	pubmed	orcs:source-family:pubmed:29973717	Zimmermann M (2018)	1-PMID29973717	Drug Exposure	Olaparib	HeLa	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:632	6	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:632	632	30135075	pubmed	orcs:source-family:pubmed:30135075	Liao S (2018)	1-PMID30135075	Drug Exposure	JQ1	10-15	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:1291	7	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:1291	1291	30154076	pubmed	orcs:source-family:pubmed:30154076	Findlay S (2018)	1-PMID30154076	Drug Exposure	Doxorubicin	hTERT-RPE1	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:1705	8	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:1705	1705	30414698	pubmed	orcs:source-family:pubmed:30414698	Goodspeed A (2019)	1-PMID30414698	Drug Exposure	Cisplatin	MGH-U4	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:1110	9	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:1110	1110	30449619	pubmed	orcs:source-family:pubmed:30449619	Shifrut E (2018)	4-PMID30449619	Drug Exposure	CGS-21680	CD8+ T s (primary-derived)	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
orcs:2.0.18:curation-queue:v2:2440	10	1	2.0.18	2	confirmed_scope	orcs:2.0.18:screen:2440	2440	30532030	pubmed	orcs:source-family:pubmed:30532030	Wang C (2019)	1-PMID30532030	Drug Exposure	AZD6738	HEK293-A	0	8	True	curation.comparator_and_sample_map|data.count_level_signal|labels.adjudicated_validation_event|metadata.gene_level_mapping|provenance.raw_data_family|provenance.source_family|rights.source_and_raw_data
