bioproject_accession	study_accession	run_accession	experiment_accession	sample_accession	secondary_sample_accession	source_sample_id	repository_sample_alias	repository_screen_group	library_strategy	library_source	library_selection	library_layout	instrument_model	donor_id	phenotype_bin	repository_metadata_url	retrieved_date
PRJNA487352	SRP158611	SRR7741072	SRX4597433	SAMN09881940	SRS3703517	S1	Pilot_CellSurf_D1_NonDiv	Pilot CellSurf	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D1	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741072	2026-08-01
PRJNA487352	SRP158611	SRR7741071	SRX4597434	SAMN09881941	SRS3703518	S2	Pilot_CellSurf_D1_Div	Pilot CellSurf	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D1	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741071	2026-08-01
PRJNA487352	SRP158611	SRR7741070	SRX4597435	SAMN09881942	SRS3703519	S3	Pilot_CellSurf_D2_NonDiv	Pilot CellSurf	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D2	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741070	2026-08-01
PRJNA487352	SRP158611	SRR7741069	SRX4597436	SAMN09881943	SRS3703521	S4	Pilot_CellSurf_D2_Div	Pilot CellSurf	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D2	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741069	2026-08-01
PRJNA487352	SRP158611	SRR7741076	SRX4597429	SAMN09881944	SRS3703513	S5	PrimaryGW_Stim1X_D3_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D3	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741076	2026-08-01
PRJNA487352	SRP158611	SRR7741075	SRX4597430	SAMN09881945	SRS3703515	S6	PrimaryGW_Stim1X_D3_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D3	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741075	2026-08-01
PRJNA487352	SRP158611	SRR7741074	SRX4597431	SAMN09881946	SRS3703514	S7	PrimaryGW_Stim4X_D3_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D3	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741074	2026-08-01
PRJNA487352	SRP158611	SRR7741073	SRX4597432	SAMN09881947	SRS3703516	S8	PrimaryGW_Stim4X_D3_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D3	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741073	2026-08-01
PRJNA487352	SRP158611	SRR7741078	SRX4597427	SAMN09881948	SRS3703511	S9	PrimaryGW_Stim2X_D3_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D3	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741078	2026-08-01
PRJNA487352	SRP158611	SRR7741077	SRX4597428	SAMN09881949	SRS3703512	S10	PrimaryGW_Stim2X_D3_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D3	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741077	2026-08-01
PRJNA487352	SRP158611	SRR7741084	SRX4597421	SAMN09881950	SRS3703506	S11	PrimaryGW_Stim1X_D4_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D4	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741084	2026-08-01
PRJNA487352	SRP158611	SRR7741083	SRX4597422	SAMN09881951	SRS3703507	S12	PrimaryGW_Stim1X_D4_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D4	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741083	2026-08-01
PRJNA487352	SRP158611	SRR7741086	SRX4597419	SAMN09881952	SRS3703504	S13	PrimaryGW_Stim4X_D4_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D4	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741086	2026-08-01
PRJNA487352	SRP158611	SRR7741085	SRX4597420	SAMN09881953	SRS3703505	S14	PrimaryGW_Stim4X_D4_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D4	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741085	2026-08-01
PRJNA487352	SRP158611	SRR7741088	SRX4597417	SAMN09881954	SRS3703503	S15	PrimaryGW_Stim2X_D4_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D4	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741088	2026-08-01
PRJNA487352	SRP158611	SRR7741087	SRX4597418	SAMN09881955	SRS3703502	S16	PrimaryGW_Stim2X_D4_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D4	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741087	2026-08-01
PRJNA487352	SRP158611	SRR7741090	SRX4597415	SAMN09881956	SRS3703499	S17	SecondaryGW_Stim1X_D5_Div	SecondaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D5	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741090	2026-08-01
PRJNA487352	SRP158611	SRR7741089	SRX4597416	SAMN09881957	SRS3703501	S18	SecondaryGW_Stim1X_D5_NonDiv	SecondaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D5	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741089	2026-08-01
PRJNA487352	SRP158611	SRR7741092	SRX4597413	SAMN09881958	SRS3703498	S19	SecondaryGW_Stim1X_D6_Div	SecondaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D6	dividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741092	2026-08-01
PRJNA487352	SRP158611	SRR7741091	SRX4597414	SAMN09881959	SRS3703500	S20	SecondaryGW_Stim1X_D6_NonDiv	SecondaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	D6	nondividing	https://www.ebi.ac.uk/ena/browser/view/SRR7741091	2026-08-01
