map_id	bioproject_accession	study_accession	run_accession	experiment_accession	sample_accession	secondary_sample_accession	source_sample_id	repository_sample_alias	repository_screen_group	library_strategy	library_source	library_selection	library_layout	instrument_model	inclusion_status	screen_id	contrast_id	condition_role	treatment_name	donor_id	phenotype_bin	treatment_mapping_evidence	repository_metadata_url	article_url	source_locator	retrieved_date	notes
SRP158611:SRR7741072	PRJNA487352	SRP158611	SRR7741072	SRX4597433	SAMN09881940	SRS3703517	S1	Pilot_CellSurf_D1_NonDiv	Pilot CellSurf	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D1	nondividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741072	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Pilot screen; excluded from the drug contrast.
SRP158611:SRR7741071	PRJNA487352	SRP158611	SRR7741071	SRX4597434	SAMN09881941	SRS3703518	S2	Pilot_CellSurf_D1_Div	Pilot CellSurf	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D1	dividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741071	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Pilot screen; excluded from the drug contrast.
SRP158611:SRR7741070	PRJNA487352	SRP158611	SRR7741070	SRX4597435	SAMN09881942	SRS3703519	S3	Pilot_CellSurf_D2_NonDiv	Pilot CellSurf	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D2	nondividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741070	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Pilot screen; excluded from the drug contrast.
SRP158611:SRR7741069	PRJNA487352	SRP158611	SRR7741069	SRX4597436	SAMN09881943	SRS3703521	S4	Pilot_CellSurf_D2_Div	Pilot CellSurf	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D2	dividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741069	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Pilot screen; excluded from the drug contrast.
SRP158611:SRR7741076	PRJNA487352	SRP158611	SRR7741076	SRX4597429	SAMN09881944	SRS3703513	S5	PrimaryGW_Stim1X_D3_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D3	nondividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741076	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741075	PRJNA487352	SRP158611	SRR7741075	SRX4597430	SAMN09881945	SRS3703515	S6	PrimaryGW_Stim1X_D3_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D3	dividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741075	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741074	PRJNA487352	SRP158611	SRR7741074	SRX4597431	SAMN09881946	SRS3703514	S7	PrimaryGW_Stim4X_D3_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D3	nondividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741074	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741073	PRJNA487352	SRP158611	SRR7741073	SRX4597432	SAMN09881947	SRS3703516	S8	PrimaryGW_Stim4X_D3_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D3	dividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741073	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741078	PRJNA487352	SRP158611	SRR7741078	SRX4597427	SAMN09881948	SRS3703511	S9	PrimaryGW_Stim2X_D3_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D3	nondividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741078	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741077	PRJNA487352	SRP158611	SRR7741077	SRX4597428	SAMN09881949	SRS3703512	S10	PrimaryGW_Stim2X_D3_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D3	dividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741077	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741084	PRJNA487352	SRP158611	SRR7741084	SRX4597421	SAMN09881950	SRS3703506	S11	PrimaryGW_Stim1X_D4_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D4	nondividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741084	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741083	PRJNA487352	SRP158611	SRR7741083	SRX4597422	SAMN09881951	SRS3703507	S12	PrimaryGW_Stim1X_D4_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D4	dividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741083	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741086	PRJNA487352	SRP158611	SRR7741086	SRX4597419	SAMN09881952	SRS3703504	S13	PrimaryGW_Stim4X_D4_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D4	nondividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741086	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741085	PRJNA487352	SRP158611	SRR7741085	SRX4597420	SAMN09881953	SRS3703505	S14	PrimaryGW_Stim4X_D4_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D4	dividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741085	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741088	PRJNA487352	SRP158611	SRR7741088	SRX4597417	SAMN09881954	SRS3703503	S15	PrimaryGW_Stim2X_D4_NonDiv	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D4	nondividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741088	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741087	PRJNA487352	SRP158611	SRR7741087	SRX4597418	SAMN09881955	SRS3703502	S16	PrimaryGW_Stim2X_D4_Div	PrimaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	excluded_other_screen					D4	dividing	not_applicable	https://www.ebi.ac.uk/ena/browser/view/SRR7741087	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA run metadata; outside ORCS screen 1110 CGS-21680 contrast	2026-08-01	Primary stimulation screen; excluded from the drug contrast.
SRP158611:SRR7741090	PRJNA487352	SRP158611	SRR7741090	SRX4597415	SAMN09881956	SRS3703499	S17	SecondaryGW_Stim1X_D5_Div	SecondaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	included_drug_contrast	orcs:2.0.18:screen:1110	orcs:2.0.18:screen:1110:contrast:cgs-21680	control	vehicle	D5	dividing	article_supported	https://www.ebi.ac.uk/ena/browser/view/SRR7741090	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA metadata plus Shifrut et al. Figure 6A and Table S6	2026-08-01	Repository alias omits vehicle; mapping is article-supported.
SRP158611:SRR7741089	PRJNA487352	SRP158611	SRR7741089	SRX4597416	SAMN09881957	SRS3703501	S18	SecondaryGW_Stim1X_D5_NonDiv	SecondaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	included_drug_contrast	orcs:2.0.18:screen:1110	orcs:2.0.18:screen:1110:contrast:cgs-21680	control	vehicle	D5	nondividing	article_supported	https://www.ebi.ac.uk/ena/browser/view/SRR7741089	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA metadata plus Shifrut et al. Figure 6A and Table S6	2026-08-01	Repository alias omits vehicle; mapping is article-supported.
SRP158611:SRR7741092	PRJNA487352	SRP158611	SRR7741092	SRX4597413	SAMN09881958	SRS3703498	S19	SecondaryGW_Stim1X_D6_Div	SecondaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	included_drug_contrast	orcs:2.0.18:screen:1110	orcs:2.0.18:screen:1110:contrast:cgs-21680	control	vehicle	D6	dividing	article_supported	https://www.ebi.ac.uk/ena/browser/view/SRR7741092	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA metadata plus Shifrut et al. Figure 6A and Table S6	2026-08-01	Repository alias omits vehicle; mapping is article-supported.
SRP158611:SRR7741091	PRJNA487352	SRP158611	SRR7741091	SRX4597414	SAMN09881959	SRS3703500	S20	SecondaryGW_Stim1X_D6_NonDiv	SecondaryGW	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	included_drug_contrast	orcs:2.0.18:screen:1110	orcs:2.0.18:screen:1110:contrast:cgs-21680	control	vehicle	D6	nondividing	article_supported	https://www.ebi.ac.uk/ena/browser/view/SRR7741091	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA metadata plus Shifrut et al. Figure 6A and Table S6	2026-08-01	Repository alias omits vehicle; mapping is article-supported.
SRP158611:SRR7741079	PRJNA487352	SRP158611	SRR7741079	SRX4597426	SAMN09881960	SRS3703510	S21	CGS_GW_Stim1X_D5_Div	CGS-21680	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	included_drug_contrast	orcs:2.0.18:screen:1110	orcs:2.0.18:screen:1110:contrast:cgs-21680	treatment	CGS-21680	D5	dividing	repository_explicit	https://www.ebi.ac.uk/ena/browser/view/SRR7741079	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA metadata plus Shifrut et al. Figure 6A and Table S6	2026-08-01	CGS-21680 is explicit in the repository alias.
SRP158611:SRR7741080	PRJNA487352	SRP158611	SRR7741080	SRX4597425	SAMN09881961	SRS3703509	S22	CGS_GW_Stim1X_D5_NonDiv	CGS-21680	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	included_drug_contrast	orcs:2.0.18:screen:1110	orcs:2.0.18:screen:1110:contrast:cgs-21680	treatment	CGS-21680	D5	nondividing	repository_explicit	https://www.ebi.ac.uk/ena/browser/view/SRR7741080	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA metadata plus Shifrut et al. Figure 6A and Table S6	2026-08-01	CGS-21680 is explicit in the repository alias.
SRP158611:SRR7741081	PRJNA487352	SRP158611	SRR7741081	SRX4597424	SAMN09881962	SRS3703508	S23	CGS_GW_Stim1X_D6_Div	CGS-21680	AMPLICON	GENOMIC	PCR	SINGLE	Illumina HiSeq 4000	included_drug_contrast	orcs:2.0.18:screen:1110	orcs:2.0.18:screen:1110:contrast:cgs-21680	treatment	CGS-21680	D6	dividing	repository_explicit	https://www.ebi.ac.uk/ena/browser/view/SRR7741081	https://pmc.ncbi.nlm.nih.gov/articles/PMC6689405/	ENA metadata plus Shifrut et al. Figure 6A and Table S6	2026-08-01	CGS-21680 is explicit in the repository alias.
