study_id,screen_id,contrast_id,gene_symbol,phenotype_direction,label_code,testing_status
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE000,resistance,V3,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE001,resistance,V2,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE002,resistance,V2,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE003,resistance,F0,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE004,resistance,F0,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE005,resistance,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE006,sensitization,V2,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE007,sensitization,V2,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE008,sensitization,F0,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE009,sensitization,D,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE010,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE011,sensitization,U,unknown
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE012,resistance,F0,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE013,sensitization,F0,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE014,resistance,V1,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE015,sensitization,A,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE016,resistance,T,tested
SYN-STUDY-01,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,GENE017,sensitization,U,unknown
