sgrna_id,gene_symbol,SYN-SCREEN-01_control_1,SYN-SCREEN-01_control_2,SYN-SCREEN-01_treatment_1,SYN-SCREEN-01_treatment_2
SYN-SCREEN-01_GENE000_sg1,GENE000,1289,1115,3825,2711
SYN-SCREEN-01_GENE000_sg2,GENE000,917,983,3202,2629
SYN-SCREEN-01_GENE000_sg3,GENE000,1053,1105,3664,3884
SYN-SCREEN-01_GENE000_sg4,GENE000,1136,1422,3347,3050
SYN-SCREEN-01_GENE001_sg1,GENE001,1340,1002,3543,2955
SYN-SCREEN-01_GENE001_sg2,GENE001,589,425,1935,1847
SYN-SCREEN-01_GENE001_sg3,GENE001,680,692,1910,1910
SYN-SCREEN-01_GENE001_sg4,GENE001,722,854,2316,2165
SYN-SCREEN-01_GENE002_sg1,GENE002,613,710,2483,1837
SYN-SCREEN-01_GENE002_sg2,GENE002,910,1028,3504,3623
SYN-SCREEN-01_GENE002_sg3,GENE002,513,397,1080,1250
SYN-SCREEN-01_GENE002_sg4,GENE002,989,1214,3583,3113
SYN-SCREEN-01_GENE003_sg1,GENE003,382,442,1291,1272
SYN-SCREEN-01_GENE003_sg2,GENE003,570,518,2036,1811
SYN-SCREEN-01_GENE003_sg3,GENE003,619,576,1840,1863
SYN-SCREEN-01_GENE003_sg4,GENE003,571,566,1266,1349
SYN-SCREEN-01_GENE004_sg1,GENE004,536,762,1574,1792
SYN-SCREEN-01_GENE004_sg2,GENE004,885,1060,3169,3146
SYN-SCREEN-01_GENE004_sg3,GENE004,1256,956,3159,3510
SYN-SCREEN-01_GENE004_sg4,GENE004,872,980,2960,4050
SYN-SCREEN-01_GENE005_sg1,GENE005,995,949,3389,2723
SYN-SCREEN-01_GENE005_sg2,GENE005,694,709,1940,1923
SYN-SCREEN-01_GENE005_sg3,GENE005,456,662,2089,1570
SYN-SCREEN-01_GENE005_sg4,GENE005,962,817,2162,2859
SYN-SCREEN-01_GENE006_sg1,GENE006,761,828,281,234
SYN-SCREEN-01_GENE006_sg2,GENE006,1059,1150,330,273
SYN-SCREEN-01_GENE006_sg3,GENE006,761,810,232,284
SYN-SCREEN-01_GENE006_sg4,GENE006,1356,1110,335,375
SYN-SCREEN-01_GENE007_sg1,GENE007,546,532,224,169
SYN-SCREEN-01_GENE007_sg2,GENE007,622,664,205,206
