gene_symbol,guide_n,median_guide_lfc,mean_guide_lfc,mean_control_count,low_count_fraction,zero_fraction_control,zero_fraction_treatment,positive_guide_fraction,negative_guide_fraction,neutral_guide_fraction,guide_lfc_mad,guide_lfc_iqr,top2_abs_lfc_mean,leave_one_guide_out_median_sd,strongest_guide_dominance,guide_direction_agreement,absolute_median_guide_lfc,absolute_mean_guide_lfc,signal_direction,is_sensitization_signal,is_neutral_signal,within_screen_effect_percentile,replicate_correlation,control_replicate_correlation,treatment_replicate_correlation,replicate_effect_sd,median_library_size,normalization_method,screen_id,contrast_id,study_id,source_family_id,raw_data_family_id,control_sample_n,treatment_sample_n,baseline_sample_n,paired_replicate_fraction,vehicle_control_present,baseline_control_present,same_infection_split,matched_control,cnv_amplification_risk_assessed,treatment_dose_reported,observed_infection_replicate_count,observed_biological_replicate_count,observed_technical_replicate_count,observed_timepoint_count,library_size_guides,target_gene_count,guides_per_gene_median,nontargeting_guide_count,library_moi,effector_moi,coverage_transduction,coverage_selection,coverage_harvest,infection_replicate_count,antibiotic_selection_days,editing_maturation_days,plasmid_reads_per_guide,plasmid_zero_guide_fraction,plasmid_skew_ratio,screen_reads_per_guide,gdna_fraction_amplified,pcr_cycle_count,exposure_days,recovery_days,endpoint_timepoint_days,minimum_declared_coverage,control_type_vehicle,control_type_untreated,control_type_baseline_t0,control_type_later_timepoint,control_type_sorted_population,control_type_matched_nontargeting,control_type_other,control_type_unknown,screen_scale_genome_wide,selection_strategy_positive_selection,selection_strategy_negative_selection,selection_strategy_bidirectional_selection,selection_strategy_competitive_growth,selection_strategy_marker_sort,selection_strategy_other,selection_strategy_unknown,independent_infection_replicates_declared,design_metadata_completeness,library_size_guides_missing,target_gene_count_missing,guides_per_gene_median_missing,nontargeting_guide_count_missing,library_moi_missing,effector_moi_missing,coverage_transduction_missing,coverage_selection_missing,coverage_harvest_missing,infection_replicate_count_missing,antibiotic_selection_days_missing,editing_maturation_days_missing,plasmid_reads_per_guide_missing,plasmid_zero_guide_fraction_missing,plasmid_skew_ratio_missing,screen_reads_per_guide_missing,gdna_fraction_amplified_missing,pcr_cycle_count_missing,exposure_days_missing,recovery_days_missing,endpoint_timepoint_days_missing,minimum_declared_coverage_missing,paired_replicate_fraction_missing,vehicle_control_present_missing,baseline_control_present_missing,same_infection_split_missing,matched_control_missing,cnv_amplification_risk_assessed_missing,observed_infection_replicate_count_missing,observed_biological_replicate_count_missing,observed_technical_replicate_count_missing,observed_timepoint_count_missing,phenotype_direction,label_code,testing_status
GENE000,4,1.5051584582,1.52993846481,1127.5,0,0,0,1,0,0,0.140694723315,0.258402098798,1.69541319474,0.107303282865,0.292943246353,1,1.5051584582,1.52993846481,resistance,0,0,0.833333333333,0.886777073013,0.840834109913,0.932720036112,0.227794559688,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,V3,tested
GENE001,4,1.48314616258,1.58323717909,788,0,0,0,1,0,0,0.0173059244104,0.132357969633,1.70063412002,0.0172755079004,0.300517363079,1,1.48314616258,1.58323717909,resistance,0,0,0.816666666667,0.886777073013,0.840834109913,0.932720036112,0.0643263956514,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,V2,tested
GENE002,4,1.63760549721,1.62317535253,796.75,0,0,0,1,0,0,0.136587506155,0.194191590035,1.77419300336,0.0498529708426,0.28764707513,1,1.63760549721,1.62317535253,resistance,0,0,0.916666666667,0.886777073013,0.840834109913,0.932720036112,0.188078192463,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,V2,tested
GENE003,4,1.62223740374,1.55955817125,530.5,0,0,0,1,0,0,0.094188059166,0.160655149177,1.71642546291,0.00437384111627,0.289637427103,1,1.62223740374,1.55955817125,resistance,0,0,0.883333333333,0.886777073013,0.840834109913,0.932720036112,0.0167459965592,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,F0,tested
GENE004,4,1.64071204118,1.63822383844,913.375,0,0,0,1,0,0,0.150689626425,0.203785402684,1.79140166761,0.0584365923816,0.288648546697,1,1.64071204118,1.63822383844,resistance,0,0,0.933333333333,0.886777073013,0.840834109913,0.932720036112,0.0790125659923,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,F0,tested
GENE005,4,1.55250661582,1.56472311866,780.5,0,0,0,1,0,0,0.091713261162,0.182310521313,1.66865288267,0.0905063026633,0.272639033042,1,1.55250661582,1.56472311866,resistance,0,0,0.85,0.886777073013,0.840834109913,0.932720036112,0.077080953476,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,resistance,U,unknown
GENE006,4,-1.71992881943,-1.73720841496,979.375,0,0,0,0,1,0,0.0896920001587,0.188007308134,1.84418001064,0.093571980798,0.27161327811,1,1.71992881943,1.73720841496,sensitization,1,0,1,0.886777073013,0.840834109913,0.932720036112,0.0277213042541,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,V2,tested
GENE007,4,-1.62176373394,-1.69932973636,579,0,0,0,0,1,0,0.0875206791579,0.195955706383,1.86441641794,0.0356444795579,0.305443968984,1,1.62176373394,1.69932973636,sensitization,1,0,0.866666666667,0.886777073013,0.840834109913,0.932720036112,0.0504306619304,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,V2,tested
GENE008,4,-1.65018866267,-1.63956533612,841.5,0,0,0,0,1,0,0.066716308573,0.0906508669656,1.71690497124,0.0153704865769,0.269935880103,1,1.65018866267,1.63956533612,sensitization,1,0,0.95,0.886777073013,0.840834109913,0.932720036112,0.172596660626,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,F0,tested
GENE009,4,-1.62400180586,-1.64550080314,852.75,0,0,0,0,1,0,0.0562010871644,0.101127557575,1.72320088759,0.0270517158328,0.273316866932,1,1.62400180586,1.64550080314,sensitization,1,0,0.9,0.886777073013,0.840834109913,0.932720036112,0.0378723842853,216006,median_ratio,SYN-SCREEN-01,SYN-SCREEN-01-DRUG-vs-CTRL,SYN-STUDY-01,SYN-SOURCE-FAMILY-SHARED,SYN-FAMILY-SHARED,2,2,0,1,1,1,1,1,1,1,2,2,,1,240,60,4,20,0.25,,450,400,350,2,7,7,200,0,4,500,1,22,14,,14,350,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,sensitization,D,tested
