study_id	citation	doi	primary_url	drug_or_compound	cell_line	cancer_type	modality	selection_direction	library	screen_scale	treatment_design	readout	analysis_method	raw_accession	raw_url	count_or_score_accession	count_or_score_url	individual_validation_reported	validation_examples	license_reuse_notes	verification_status	verified_fields	unresolved_fields
CER-S001	Shalem et al., Science (2014), Genome-scale CRISPR-Cas9 knockout screening in human cells	10.1126/science.1247005	https://pmc.ncbi.nlm.nih.gov/articles/PMC4089965/	vemurafenib	A375	melanoma	CRISPR-KO	resistance	GeCKO	64,751 sgRNAs; 18,080 genes	2 uM vemurafenib; 14 days	cell survival / sgRNA enrichment	RIGER	NA	NA	article supplementary data	https://pmc.ncbi.nlm.nih.gov/articles/PMC4089965/	yes	NF1 and MED12; additional hits retested with independent sgRNAs	Science article/supplement redistribution terms not verified; keep only accession manifest and derived annotations until checked	VERIFIED_COUNTS	paper; cell line; drug; library size; duration; ranking method; targeted validation	raw sequencing accession; exact supplement license
CER-S002	Krall et al., eLife (2017), KEAP1 loss modulates sensitivity to kinase targeted therapy in lung cancer	10.7554/eLife.18970	https://elifesciences.org/articles/18970	trametinib; vemurafenib; erlotinib; crizotinib; ceritinib	H1299; HCC364; CALU-1; HCC827; MGH065	lung cancer	CRISPR-KO	resistance	GeCKO v2 genome-wide; focused druggable-gene library	genome-wide and focused screens	14-21 day drug selections	cell survival / sgRNA enrichment	STARS; log-fold change	NA	NA	article supplementary score tables	https://elifesciences.org/articles/18970	yes	KEAP1 knockout and rescue across several kinase-inhibitor contexts	eLife article is CC BY; verify license attached to each downloadable supplement before redistribution	VERIFIED_COUNTS	paper; drugs; cell lines; library classes; treatment duration; score tables; KEAP1 validation	raw sequencing accession; exact focused-library size by arm
CER-S003	Hou et al., Cancer Research (2017), A Genome-Wide CRISPR Screen Identifies Genes Critical for Resistance to FLT3 Inhibitor AC220	10.1158/0008-5472.CAN-16-1627	https://pmc.ncbi.nlm.nih.gov/articles/PMC5559306/	quizartinib (AC220)	MV4-11	acute myeloid leukemia	CRISPR-KO	resistance	GeCKO genome-wide	genome-wide	prolonged AC220 selection	cell survival / sgRNA enrichment	gene-level enrichment analysis described in paper	NA	NA	article supplementary data	https://pmc.ncbi.nlm.nih.gov/articles/PMC5559306/	yes	SPRY3 and GSK3-pathway hits retested with individual perturbations	AACR reuse terms must be checked; do not mirror supplementary files by default	VERIFIED_METADATA	paper; DOI; drug; cell line; genome-wide KO design; targeted validation	raw/count accession; exact guide count; supplement reuse terms
CER-S004	Pettitt et al., Nature Communications (2018), Genome-wide and high-density CRISPR-Cas9 screens identify point mutations in PARP1 causing PARP inhibitor resistance	10.1038/s41467-018-03917-2	https://www.nature.com/articles/s41467-018-03917-2	PARP inhibitors including olaparib and talazoparib	SUM149 and additional human cancer models	BRCA1-mutant breast cancer	CRISPR-KO; CRISPR mutagenesis	resistance	genome-wide and high-density tiling libraries	genome-wide plus PARP1-focused high-density screen	PARP-inhibitor selection	cell survival / guide enrichment	screen-specific enrichment analyses	PRJEB24332	https://www.ebi.ac.uk/ena/browser/view/PRJEB24332	article source and supplementary data	https://www.nature.com/articles/s41467-018-03917-2	yes	PARP1 resistance mutations confirmed by targeted editing and functional assays	Article is CC BY 4.0; ENA reads are public, but preserve sample metadata and do not assume all files share the article license	VERIFIED_RAW	paper; DOI; PARP-inhibitor context; ENA project; focused validation	exact library composition and drug dose for every arm require sample-level curation
CER-S005	Zimmermann et al., Nature (2018), CRISPR screens identify genomic ribonucleotides as a source of PARP-trapping lesions	10.1038/s41586-018-0291-z	https://pubmed.ncbi.nlm.nih.gov/29973717/	olaparib	hTERT-RPE1 TP53-null	human retinal pigment epithelial model	CRISPR-KO	sensitization	TKOv1	15,463 genes represented in released gene-level dataset	15-day olaparib chemogenetic screen	cell proliferation / guide depletion	drugZ	NA	NA	BioGRID ORCS screen 1350 / source supplement	https://orcs.thebiogrid.org/Screen/1350	yes	RNASEH2 complex genes validated with individual perturbations	Nature article and supplementary redistribution terms not verified; ORCS data have their own usage terms	VERIFIED_COUNTS	paper; drug; model; duration; DrugZ analysis; gene-level dataset; targeted validation	raw sequencing accession; exact dose; source-file license
CER-S006	Stover et al., Molecular Cancer Research (2019), Pooled Genomic Screens Identify Anti-apoptotic Genes as Targetable Mediators of Chemotherapy Resistance in Ovarian Cancer	10.1158/1541-7786.MCR-18-1243	https://pmc.ncbi.nlm.nih.gov/articles/PMC6825578/	cisplatin; paclitaxel; cisplatin plus paclitaxel	OVSAHO and additional HGSOC lines	high-grade serous ovarian cancer	CRISPR-KO	resistance; sensitization	Avana-4	approximately 18,900 genes	14-day single-agent and combination selections	cell survival / guide abundance	log-fold change and gene-level aggregation	NA	NA	BioStudies S-EPMC6825578; article supplements	https://www.ebi.ac.uk/biostudies/articles/S-EPMC6825578	yes	BCL2-family dependencies and inhibitor combinations tested experimentally	AACR article reuse terms unresolved; BioStudies mirrors publisher supplements and does not automatically grant broad redistribution	VERIFIED_COUNTS	paper; drugs; cancer model; Avana library; duration; official supplement mirror; follow-up validation	raw sequencing accession; exact cell-line-to-arm map; supplement license
CER-S007	Chen et al., Cancer Discovery (2019), Targeting Mitochondrial Structure Sensitizes Acute Myeloid Leukemia to Venetoclax Treatment	10.1158/2159-8290.CD-19-0117	https://aacrjournals.org/cancerdiscovery/article/9/7/890/41983/Targeting-Mitochondrial-Structure-Sensitizes-Acute	venetoclax	MOLM-13	acute myeloid leukemia	CRISPR-KO	resistance; sensitization	Brunello genome-wide	approximately 19,100 genes	2 uM venetoclax; 16 days	cell survival / differential CRISPR score	differential CRISPR score	NA	NA	article supplementary screen data	https://aacrjournals.org/cancerdiscovery/article/9/7/890/41983/Targeting-Mitochondrial-Structure-Sensitizes-Acute	yes	CLPB and OPA1 perturbation linked mitochondrial architecture to venetoclax response	GSE125403/PRJNA516226 contains companion RNA-seq, not raw CRISPR-screen reads; AACR article/supplement reuse terms must be checked separately	VERIFIED_COUNTS	paper; DOI; cell line; drug; library; treatment; supplementary screen data; targeted validation	raw CRISPR sequencing accession; supplement file schema and reuse terms
CER-S008	Nechiporuk et al., Cancer Discovery (2019), The TP53 Apoptotic Network Is a Primary Mediator of Resistance to BCL2 Inhibition in AML Cells	10.1158/2159-8290.CD-19-0125	https://aacrjournals.org/cancerdiscovery/article/9/7/910/42102/The-TP53-Apoptotic-Network-Is-a-Primary-Mediator	venetoclax	MOLM-13; MV4-11	acute myeloid leukemia	CRISPR-KO	resistance	Yusa human improved genome-wide knockout library	approximately 18,000 genes	1 uM venetoclax; samples at days 7 and 14	cell survival / guide enrichment	MAGeCK	GSE130412; PRJNA540211	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130412	article supplementary data	https://aacrjournals.org/cancerdiscovery/article/9/7/910/42102/The-TP53-Apoptotic-Network-Is-a-Primary-Mediator	yes	TP53, BAX and PMAIP1 validated with individual sgRNAs and dose-response assays	GEO/SRA reads are public; AACR text and supplementary tables have separate reuse terms	VERIFIED_RAW	paper; DOI; screen model; library class; drug; time points; GEO/BioProject; targeted validation	exact sample-to-replicate mapping; license for publisher supplements
CER-S009	Lin et al., Cell Metabolism (2019), Systematic Dissection of the Metabolic-Apoptotic Interface in AML Reveals Heme Biosynthesis to Be a Regulator of Drug Sensitivity	10.1016/j.cmet.2019.01.011	https://pubmed.ncbi.nlm.nih.gov/30773463/	venetoclax	MOLM-13	acute myeloid leukemia	CRISPR-KO	resistance; sensitization	focused metabolic CRISPR library	2,325 metabolic genes	approximately 4-week drug selection	cell survival / guide abundance	Three Score	NA	NA	BioGRID ORCS screen 1767 / article supplement	https://orcs.thebiogrid.org/Screen/1767	yes	heme-biosynthesis pathway perturbations validated mechanistically	Cell article/supplement reuse terms not verified; store derived factual annotations and links only	VERIFIED_COUNTS	paper; DOI; drug; cell line; targeted library size; scoring method; targeted validation	raw sequencing accession; exact dose; source-file license
CER-S010	Zou et al., Nature Communications (2019), A GPX4-dependent cancer cell state underlies the clear-cell morphology and confers sensitivity to ferroptosis	10.1038/s41467-019-09277-9	https://www.nature.com/articles/s41467-019-09277-9	ML210 and related GPX4-targeting ferroptosis inducers	clear-cell cancer models including renal cancer	clear-cell carcinomas	CRISPR-KO	resistance; sensitization	Brunello genome-wide	23,972 genes/controls represented in released screen dataset	4-day compound selection	cell survival / guide abundance	log-fold change	NA	NA	BioGRID ORCS screen 1256 / article source data	https://orcs.thebiogrid.org/Screen/1256	yes	GPX4-dependent state and pathway components validated across models	Article is CC BY 4.0; check source-data file-specific notices and ORCS terms before redistribution	VERIFIED_COUNTS	paper; DOI; compound class; screen direction; library; duration; released score dataset; validation	raw sequencing accession; exact cell lines and doses for each arm
